Player,Market Value
Alexis Beka Beka,€300k
Jérémie Bela,€175k
Youcef Belaïli,€1.50m
Haris Belkebla,€2.00m
Stefan Bell,€600k
Armel Bella Kotchap,€7.50m
Raoul Bellanova,€18.00m
Karim Bellarabi,-
Jean-Ricner Bellegarde,€16.00m
Héctor Bellerín,€2.50m
Jude Bellingham,€140.00m
Andrea Belotti,€1.50m
Fran Beltrán,€5.00m
Eliesse Ben Seghir,€20.00m
Salim Ben Seghir,€300k
Wissam Ben Yedder,€700k
Marco Benassi,-
Ismaël Bennacer,€9.00m
Saïd Benrahma,€9.00m
Ramy Bensebaini,€7.00m
Nabil Bentaleb,€5.00m
Rodrigo Bentancur,€22.00m
Karim Benzema,€6.00m
Domenico Berardi,€7.50m
Yuri Berchiche,€1.20m
Álex Berenguer,€5.00m
Bartosz Bereszy?ski,€450k
Patrick Berg,€8.00m
Mitchell van Bergen,€1.00m
Mergim Berisha,€1.50m
Quentin Bernard,€100k
Paul Bernardoni,€1.80m
Juan Bernat,€500k
Jason Berthomier,-
Beto,-
Owen Bevan,-
Matteo Bianchetti,€800k
Alessandro Bianco,€4.50m
Giulian Biancone,€2.50m
Ermin Bi?ak?i?,€250k
Pedro Bigas,€400k
Jaka Bijol,€18.00m
El Bilal Touré,€15.00m
Philip Billing,€7.00m
Jean-Claude Billong,-
Cristiano Biraghi,€1.40m
Samuele Birindelli,€2.50m
Veljko Birman?evi?,€4.50m
Tom Bischof,€40.00m
Yves Bissouma,€12.00m
Kristijan Bistrovi?,€1.80m
Leonardo Bittencourt,€1.20m
Marco Bizot,€2.50m
Blanco,-
Lautaro Blanco,€3.80m
Rubén Blanco,€800k
Ludovic Blas,€10.00m
Janis Blaswich,€700k
Miha Bla?i?,€400k
Joaquín Blázquez,€175k
Alexis Blin,€900k
Daley Blind,€1.40m
Myron Boadu,€5.00m
Jérôme Boateng,-
Kevin-Prince Boateng,-
Antonin Bobichon,€500k
Jean-Paul Boëtius,€400k
Jeremie Boga,€8.00m
Emil Bohinen,€1.30m
Quentin Boisgard,€400k
Willy Boly,€500k
Giacomo Bonaventura,-
Federico Bonazzoli,€2.50m
Warren Bondo,€7.50m
Theo Bongonda,€4.00m
Kevin Bonifazi,€300k
Leonardo Bonucci,-
Neto Borges,€2.60m
Yvandro Borges Sanches,€500k
Sebastiaan Bornauw,€8.00m
Rafael Borré,€4.00m
Erik Botheim,€3.50m
Sven Botman,€35.00m
Kenji-Van Boto,€300k
Badredine Bouanani,€12.00m
Hicham Boudaoui,€12.00m
Franci Bouebari,€250k
Sofiane Boufal,€2.00m
Yassine Bounou,€3.50m
Mehdi Bourabia,€200k
Benjamin Bourigeaud,€5.00m
Edoardo Bove,€5.00m
Jarrod Bowen,€35.00m
Lucas Boyé,€5.00m
Jayden Braaf,€400k
Domagoj Bradari?,€2.50m
Bilal Brahimi,€1.50m
Martin Braithwaite,€1.50m
Juan Brandáriz,€800k
Julian Brandt,€20.00m
Lilian Brassier,€12.00m
Claudio Bravo,-
Fabian Bredlow,€800k
James Bree,€2.50m
Josip Brekalo,€2.50m
Gleison Bremer,€35.00m
Armando Broja,€8.00m
Dylan Bronn,€800k
John Brooks,€300k
Moritz Broschinski,€1.00m
Marcelo Brozovi?,€9.00m
Cédric Brunner,-
Lewis Brunt,€800k
Jacob Bruun Larsen,€5.00m
Andreas Bruus,€750k
Bryan,€80.00m
Joe Bryan,€550k
Lee Buchanan,€1.80m
Ante Budimir,€3.00m
Emi Buendía,€18.00m
Hugo Bueno,€12.00m
Santiago Bueno,€10.00m
Adam Buksa,€4.00m
Marius Bülter,€2.00m
Cristian Buonaiuto,€300k
Facundo Buonanotte,€16.00m
Alessandro Buongiorno,€35.00m
Delano Burgzorg,€3.00m
Jonathan Burkardt,€35.00m
Oliver Burke,€4.00m
Dan Burn,€5.00m
Maxime Busi,€1.00m
Sergio Busquets,-
Aurélio Buta,€3.00m
Marcin Bu?ka,€17.00m
Jamie Bynoe-Gittens,€35.00m
Juan Cabal,€9.00m
Rémy Cabella,€1.50m
Jimmy Cabot,-
Leandro Cabrera,€1.00m
Liberato Cacace,€3.00m
Anthony Caci,€8.00m
Cafú,-
Moisés Caicedo,€110.00m
Tom Cairney,€750k
Jens Cajuste,€8.00m
Cala,-
Davide Calabria,€4.50m
Mattia Caldara,-
Luca Caldirola,€400k
Fernando Calero,€2.00m
Duje ?aleta-Car,€3.00m
Kerim Calhanoglu,€350k
Daniel Caligiuri,-
Alexander Callens,€300k
Dominic Calvert-Lewin,€22.00m
Mahdi Camara,€10.00m
Mohamed Camara,€11.00m
Ousmane Camara,€8.00m
Eduardo Camavinga,€50.00m
Nicolò Cambiaghi,€16.00m
Andrea Cambiaso,€30.00m
Axel Camblan,€600k
Sergio Camello,€2.00m
Chem Campbell,€1.00m
Emre Can,€4.00m
Sergio Canales,€4.50m
Matteo Cancellieri,€5.50m
João Cancelo,€9.00m
Antonio Candreva,-
Thomas Cannon,€8.00m
Sergi Canós,€800k
Ander Capa,-
Pierrick Capelle,€200k
Étienne Capoue,-
Gianluca Caprari,€750k
Francesco Caputo,-
Maxence Caqueret,€15.00m
Andrea Carboni,€2.50m
Valentin Carboni,€8.50m
Isaac Carcelen,€500k
Irvin Cardona,€2.50m
Igor Carioca,-
Carlos,-
Diego Carlos,€6.00m
Juan Carlos,-
José Carlos Lazo,€500k
Carmona,€12.00m
Marco Carnesecchi,€25.00m
Yannick Carrasco,€6.00m
Fabio Carvalho,€10.00m
Matis Carvalho,€250k
William Carvalho,€1.20m
Nicolò Casale,€5.00m
Casemiro,€8.00m
Matty Cash,€22.00m
Timothy Castagne,€10.00m
Michele Castagnetti,€300k
Koen Casteels,€4.00m
Valentín Castellanos,€28.00m
Jean-Charles Castelletto,€3.20m
Samu Castillejo,€375k
Jonny Castro,€2.50m
Gaetano Castrovilli,€750k
Danilo Cataldi,€3.50m
Catena,€2.80m
Yoann Cathline,€7.00m
Maximiliano Caufriez,€800k
Edinson Cavani,€500k
Dani Ceballos,€8.00m
Federico Ceccherini,€400k
Assan Ceesay,€600k
Emil Ceide,€1.80m
Zeki Çelik,€12.00m
Fabien Centonze,€1.20m
Franco Cervi,€700k
Julio César Enciso,€22.00m
Leonardo César Jardim,€7.00m
Julian Chabot,€15.00m
Florian Chabrolle,-
El Chadaille Bitshiabu,€15.00m
Fares Chaïbi,€15.00m
Nathaniel Chalobah,€700k
Trevoh Chalobah,€40.00m
Calum Chambers,€900k
Timothy Chandler,€350k
Gaëtan Charbonnier,-
Brendan Chardonnet,€5.00m
Xavier Chavalerin,€150k
Pep Chavarría,€10.00m
Rayan Cherki,€65.00m
Lucas Chevalier,€30.00m
Fabio Chiarodia,€3.00m
Federico Chiesa,€15.00m
Ben Chilwell,€12.00m
Vlad Chiriche?,€250k
Pedro Chirivella,€5.00m
Joris Chotard,€7.00m
Andreas Christensen,€9.00m
Oliver Christensen,€1.50m
Ryan Christie,€9.00m
Carney Chukwuemeka,€20.00m
Samuel Chukwueze,€15.00m
Darko Churlinov,€1.50m
Víctor Chust,€4.00m
Yanis Cimignani,€1.50m
Daniel Ciofani,-
Tio Cipot,€800k
