Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,Goals,SoT,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasMedCmp,PasMedAtt,PasLonCmp,PasLonAtt,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToTkl,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,OG,Recov,AerWon,AerLost,Market Value,Market Value Euros,90s,SoT%,PasTotCmp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,TklDri%,ToSuc%,ToTkl%,AerWon%,Market Value Log,Goals_per90,Assists_per90,SCA_per90,GCA_per90,PasProg_per90,Carries_per90,Tkl_per90,Int_per90,Age_Premium,Superstar_Index,Elite_Market_Signal,Potential_Score
David Ozoh,Other,FW,Crystal Palace,Premier League,17,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,24.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,€1.80m,1800000.0,0.011111111111111112,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,14.403297778421795,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,1.8,0.0,0.0,10
David Pereira da Costa,POR,MFFW,Lens,Ligue 1,22,20,16,1231,1,0.51,1.9607843137254901,1.9607843137254901,17.6,0.22,0.0,0.0,38.2,47.2,596.9,160.4,19.8,22.3,14.8,18.4,2.19,3.28,0.22,1.75,4.23,1.75,0.22,6.79,47.2,46.3,0.66,0.22,0.15,0.07,2.77,0.44,0.0,0.0,0.0,0.0,38.2,0.29,0.8,3.72,2.99,0.0,0.44,0.22,0.07,0.0,0.51,0.44,0.0,0.07,0.0,0.0,0.0,0.95,0.51,0.07,0.73,0.15,0.51,1.39,0.88,0.95,0.0,0.95,0.73,1.68,0.29,0.0,56.1,0.22,3.28,28.4,25.0,2.7,56.1,3.07,1.82,0.95,48.2,325.5,158.4,3.87,4.23,0.51,1.97,1.68,46.6,8.32,0.07,0.0,0.0,0.66,0.88,0.0,2.77,0.51,0.07,0.0,3.72,0.22,0.66,€6.00m,6000000.0,13.677777777777777,51.0,80.93220338983052,88.78923766816143,80.43478260869567,66.76829268292683,36.69064748201439,59.28338762214984,30.944625407166125,25.0,15.607270193858982,0.07311129163281885,0.016084484159220147,0.27197400487408613,0.03728675873273762,0.49642567018684,3.523964256701869,0.0694557270511779,0.05337124289195776,1.8,0.1384362307067425,0.2491852152721365,7
David Raum,GER,DFFW,RB Leipzig,Bundesliga,24,19,14,1183,0,0.15,0.0,0.0,25.2,0.0,0.0,0.0,43.0,58.5,716.9,218.1,22.1,24.8,16.0,20.7,3.82,9.54,0.08,1.53,2.21,1.22,0.76,3.05,58.5,46.9,11.6,0.99,0.23,0.23,7.63,7.94,2.67,0.99,1.53,0.0,43.0,0.08,2.21,2.67,1.3,0.99,0.23,0.08,0.08,0.0,0.15,0.08,0.08,0.0,0.0,0.0,0.0,2.37,1.37,1.45,0.69,0.23,0.92,1.53,0.61,1.37,0.38,0.99,1.07,3.44,1.37,0.08,68.8,2.29,18.1,27.9,23.4,1.53,68.8,1.91,0.38,1.3,35.0,155.7,86.0,2.21,0.92,0.53,0.99,0.61,41.6,6.72,0.15,0.0,0.0,1.22,0.99,0.08,7.63,1.37,0.0,0.0,5.19,0.84,0.69,€22.00m,22000000.0,13.144444444444444,0.0,73.50427350427351,89.11290322580645,77.29468599033817,40.04192872117401,60.130718954248366,19.895287958115183,68.06282722513089,54.90196078431373,16.906553056777135,0.0,0.006086221470836856,0.20312764158918006,0.011411665257819104,0.2320371935756551,2.6627218934911245,0.18030431107354186,0.08140321217244295,1.4,0.06675824175824177,0.09346153846153847,7
David Raya,ESP,GK,Brentford,Premier League,27,22,22,1980,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,42.6,921.0,727.8,3.73,3.91,10.4,10.6,12.8,27.9,0.0,0.09,1.95,0.14,0.0,0.36,42.6,30.0,12.5,4.73,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.09,0.05,0.32,0.18,0.14,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.05,0.0,0.05,0.0,0.0,0.27,0.05,45.0,32.6,42.3,2.82,0.0,0.0,45.0,0.05,0.05,0.0,27.3,168.9,111.4,0.0,0.0,0.0,0.0,0.0,19.7,0.0,0.05,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,1.27,0.5,0.05,€35.00m,35000000.0,22.0,0.0,63.145539906103274,95.39641943734016,98.11320754716982,45.87813620071685,0.0,100.0,0.0,90.9090909090909,17.370858648025116,0.0,0.0,0.014545454545454545,0.002272727272727273,0.01636363636363636,1.240909090909091,0.0,0.0,1.0,0.004886363636363637,0.004886363636363637,4
David Soria,ESP,GK,Getafe,La Liga,29,20,20,1800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,29.1,711.2,607.7,1.25,1.3,4.2,4.4,11.3,23.2,0.0,0.1,0.8,0.05,0.0,0.0,29.1,16.2,12.7,4.2,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.15,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.15,31.3,26.7,31.1,0.2,0.0,0.0,31.3,0.0,0.0,0.0,14.0,82.5,53.4,0.0,0.0,0.0,0.0,0.0,8.2,0.0,0.05,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,1.0,0.15,0.0,€3.00m,3000000.0,20.0,0.0,57.388316151202744,96.15384615384615,95.45454545454545,48.70689655172414,0.0,0.0,0.0,100.0,14.914123179965662,0.0,0.0,0.0075,0.0,0.0,0.7,0.0,0.0,1.0,0.0015,0.0015,4
David Torres,ESP,DF,Valladolid,La Liga,19,2,1,101,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.6,70.9,874.5,217.3,25.5,28.2,25.5,29.1,2.73,7.27,0.0,0.91,4.55,0.0,0.0,3.64,70.9,64.5,5.45,0.91,0.0,0.0,0.91,4.55,0.0,0.0,0.0,0.0,53.6,0.91,3.64,0.91,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.91,0.0,0.91,0.0,0.91,0.91,0.0,1.82,0.91,0.91,1.82,2.73,2.73,0.0,80.0,5.45,23.6,49.1,8.18,0.0,80.0,0.0,0.0,0.0,45.5,122.7,34.5,0.0,0.91,0.0,1.82,0.0,54.5,0.91,0.0,0.0,0.0,0.0,0.91,0.0,0.91,0.91,0.0,0.0,4.55,1.82,1.82,€1.50m,1500000.0,1.1222222222222222,0.0,75.59943582510577,90.42553191489363,87.62886597938144,37.5515818431912,100.0,0.0,0.0,50.0,14.220976332738882,0.0,0.0,0.810891089108911,0.0,3.243564356435644,40.54455445544554,0.810891089108911,1.621782178217822,1.8,0.48653465346534663,0.875762376237624,10
David Zima,CZE,DF,Torino,Serie A,22,9,4,406,0,0.44,0.0,0.0,12.0,0.0,0.0,0.0,34.2,43.8,601.8,165.1,13.3,17.1,16.2,19.1,2.67,4.44,0.0,0.44,1.33,0.67,0.0,2.67,43.8,43.1,0.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,0.0,0.67,0.89,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.11,1.11,0.89,0.0,0.67,0.89,0.22,1.56,0.44,1.11,2.0,4.0,2.44,0.44,54.4,4.44,25.3,26.9,2.67,1.11,54.4,0.22,0.22,0.0,24.7,120.2,62.0,0.67,0.44,0.0,0.22,0.44,28.7,1.11,0.0,0.0,0.0,0.89,0.44,0.0,0.0,1.11,0.0,0.0,5.33,3.33,2.0,€7.00m,7000000.0,4.511111111111111,0.0,78.08219178082193,77.77777777777779,84.81675392670157,60.13513513513513,75.2808988764045,100.0,0.0,62.476547842401494,15.76142084987672,0.0,0.0,0.19729064039408867,0.0,0.591871921182266,5.475369458128078,0.4433497536945813,0.4433497536945813,1.8,0.09864532019704433,0.1775615763546798,7
David de Gea,ESP,GK,Manchester Utd,Premier League,32,22,22,1980,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,30.6,545.9,381.3,5.73,5.73,10.0,10.2,6.0,14.3,0.0,0.05,0.09,0.05,0.0,0.0,30.6,24.2,6.14,1.68,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.23,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.05,32.6,27.0,32.5,0.18,0.0,0.0,32.6,0.0,0.0,0.0,19.4,92.6,56.8,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.73,0.14,0.0,€3.50m,3500000.0,22.0,0.0,71.89542483660131,100.0,98.03921568627452,41.95804195804196,0.0,0.0,0.0,100.0,15.068273812173887,0.0,0.0,0.00409090909090909,0.0,0.0,0.8818181818181817,0.0,0.0,1.0,0.0008181818181818182,0.0008181818181818182,4
Davide Calabria,ITA,DF,Milan,Serie A,26,14,13,1000,1,0.09,11.11111111111111,11.11111111111111,21.1,0.0,0.0,0.0,52.8,66.0,933.1,341.4,22.4,24.1,23.9,27.4,5.32,11.7,0.18,0.81,3.24,0.99,0.72,4.86,66.0,54.8,10.9,0.9,0.0,0.18,2.61,9.55,0.45,0.0,0.45,0.0,52.8,0.36,1.17,1.62,1.44,0.09,0.0,0.0,0.09,0.0,0.27,0.18,0.0,0.0,0.0,0.09,0.0,4.5,2.34,2.07,1.89,0.54,2.52,3.87,1.35,1.26,0.36,0.9,1.53,6.04,1.8,0.0,77.1,3.78,24.4,38.4,15.3,0.81,77.1,0.72,0.09,0.45,38.5,172.4,103.1,1.35,1.35,0.09,0.54,0.27,46.0,3.87,0.36,0.0,0.0,0.9,0.81,0.09,2.61,2.34,0.09,0.0,6.13,0.45,0.63,€4.50m,4500000.0,11.11111111111111,9.0,80.0,92.9460580912863,87.22627737226277,45.47008547008547,65.11627906976743,12.5,62.5,41.666666666666664,15.319588176962746,0.09,0.0162,0.1458,0.024300000000000002,0.43740000000000007,3.4650000000000003,0.405,0.13770000000000002,1.0,0.11128500000000002,0.11128500000000002,4
Davide Frattesi,ITA,MF,Sassuolo,Serie A,23,21,21,1726,5,0.94,5.319148936170213,5.319148936170213,14.2,0.0,0.0,0.0,25.2,32.1,433.9,119.0,12.0,14.4,9.22,11.1,3.02,4.53,0.0,1.04,2.4,0.89,0.05,4.38,32.1,31.3,0.83,0.63,0.21,0.73,0.47,0.21,0.0,0.0,0.0,0.0,25.2,0.0,0.68,3.18,2.55,0.0,0.21,0.21,0.16,0.05,0.21,0.21,0.0,0.0,0.0,0.0,0.0,2.19,0.99,0.73,1.15,0.31,0.73,1.25,0.52,0.83,0.1,0.73,0.31,2.5,1.25,0.0,44.4,1.98,8.96,22.3,13.8,2.97,44.4,2.5,1.25,0.83,24.8,144.4,72.7,2.34,1.82,0.73,1.67,1.46,29.8,2.86,0.16,0.0,0.0,1.41,1.93,0.0,0.47,0.99,0.0,0.0,5.21,0.83,0.63,€22.00m,22000000.0,19.177777777777777,18.8,78.50467289719626,83.33333333333333,83.06306306306307,66.66666666666666,58.4,50.0,33.199999999999996,56.84931506849315,16.906553056777135,0.2607184241019699,0.0,0.16581691772885285,0.010950173812282735,0.2283893395133256,1.2931633835457705,0.1141946697566628,0.016164542294322133,1.4,0.148896292004635,0.20845480880648898,7
