Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,Goals,SoT,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasMedCmp,PasMedAtt,PasLonCmp,PasLonAtt,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToTkl,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,OG,Recov,AerWon,AerLost,Market Value,Market Value Euros,90s,SoT%,PasTotCmp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,TklDri%,ToSuc%,ToTkl%,AerWon%,Market Value Log,Goals_per90,Assists_per90,SCA_per90,GCA_per90,PasProg_per90,Carries_per90,Tkl_per90,Int_per90,Age_Premium,Superstar_Index,Elite_Market_Signal,Potential_Score
?ukasz Fabia?ski,POL,GK,West Ham,Premier League,37,22,22,1873,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,27.3,556.4,435.7,3.7,3.7,6.68,6.73,7.4,16.6,0.0,0.0,0.38,0.0,0.0,0.0,27.3,18.1,9.04,2.45,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,17.9,0.14,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,29.3,25.8,29.2,0.1,0.0,0.0,29.3,0.0,0.0,0.0,15.4,101.5,68.5,0.0,0.0,0.0,0.05,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.48,0.48,0.05,€250k,250000.0,20.81111111111111,0.0,65.56776556776556,100.0,99.25705794947993,44.57831325301205,0.0,0.0,0.0,90.56603773584905,12.429220196836383,0.0,0.0,0.004805125467164976,0.0,0.0,0.7399893219434064,0.0,0.0,1.0,0.0009610250934329953,0.0009610250934329953,4
?ukasz Por?ba,POL,MF,Lens,Ligue 1,22,7,3,247,0,0.0,0.0,0.0,17.1,0.0,0.0,0.0,40.0,48.5,633.0,187.0,18.1,21.5,16.3,18.9,2.96,4.44,0.37,1.85,4.44,1.85,0.74,6.67,48.5,48.1,0.37,0.37,0.0,0.0,2.22,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.37,3.33,2.96,0.0,0.0,0.0,0.0,0.37,0.74,0.37,0.0,0.0,0.0,0.0,0.37,1.85,1.48,0.74,0.37,0.74,0.74,1.11,0.37,1.11,0.0,1.11,1.11,2.96,0.74,0.0,57.8,1.11,6.3,30.7,20.7,0.37,57.8,0.74,0.37,0.37,43.0,213.7,76.3,1.11,2.96,0.0,1.85,0.37,40.7,6.67,0.37,0.0,0.0,2.96,0.74,0.0,2.22,1.48,0.0,0.0,4.07,0.74,0.37,€2.00m,2000000.0,2.7444444444444445,0.0,82.4742268041237,84.18604651162791,86.24338624338625,66.66666666666666,66.66666666666666,50.0,50.0,66.66666666666667,14.508658238524095,0.0,0.13481781376518218,1.2133603238866397,0.26963562753036435,2.4303643724696355,15.668016194331983,0.6740890688259109,0.4044534412955466,1.8,0.5531174089068827,0.9956113360323888,7
?ukasz Skorupski,POL,GK,Bologna,Serie A,31,21,21,1890,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4,34.2,706.6,494.6,4.9,4.95,11.6,11.8,8.62,16.1,0.0,0.0,0.0,0.0,0.0,0.0,34.2,24.0,10.1,2.86,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,26.4,0.14,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.62,0.05,36.8,33.0,36.6,0.19,0.0,0.0,36.8,0.0,0.0,0.0,19.3,99.3,67.7,0.0,0.0,0.0,0.05,0.0,15.6,0.0,0.14,0.0,0.0,0.0,0.24,0.0,0.0,0.05,0.0,0.0,1.14,0.19,0.0,€2.50m,2500000.0,21.0,0.0,77.19298245614034,98.98989898989899,98.3050847457627,53.54037267080744,100.0,0.0,0.0,100.0,14.731801689838349,0.0,0.0,0.004761904761904762,0.0,0.0,0.9190476190476191,0.002380952380952381,0.0,1.0,0.0009523809523809525,0.0009523809523809525,4
?órir Jóhann Helgason,ISL,MF,Lecce,Serie A,22,7,2,154,0,0.0,0.0,0.0,32.3,0.59,0.0,0.0,20.6,28.2,381.2,164.7,8.24,11.2,8.24,9.41,3.53,6.47,0.0,1.76,0.59,0.0,0.0,1.18,28.2,23.5,4.71,0.59,0.0,0.0,5.29,0.0,3.53,2.94,0.59,0.0,20.6,0.0,0.0,2.35,1.18,1.18,0.0,0.0,0.0,0.0,0.59,0.59,0.0,0.0,0.0,0.0,0.0,0.59,0.59,0.0,0.0,0.59,0.59,0.59,0.0,0.59,0.0,0.59,1.18,1.76,1.18,0.0,35.9,2.35,10.0,13.5,13.5,0.0,35.9,0.0,0.0,0.0,15.3,58.8,25.3,0.59,1.18,0.0,1.76,0.59,16.5,0.0,0.0,0.0,0.0,1.18,0.59,0.0,5.29,0.59,0.0,0.0,4.71,0.0,1.76,€2.30m,2300000.0,1.711111111111111,0.0,73.04964539007092,73.57142857142858,87.56641870350691,54.559505409582684,100.0,0.0,0.0,0.0,14.648420115681892,0.0,0.0,1.3733766233766236,0.3448051948051948,0.6896103896103896,8.941558441558442,0.3448051948051948,0.6896103896103896,1.8,0.3953571428571429,0.7116428571428572,7
Aaron Cresswell,ENG,DF,West Ham,Premier League,33,18,17,1533,0,0.06,0.0,0.0,22.8,0.18,0.0,0.0,50.8,63.9,819.1,377.8,28.6,30.5,17.4,21.7,4.24,8.47,0.0,1.76,4.41,1.41,0.76,6.94,63.9,51.6,12.2,1.76,0.06,0.24,5.94,8.24,2.18,0.12,1.71,0.06,50.8,0.12,1.47,3.12,2.06,1.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.41,0.47,0.35,0.0,0.35,0.94,0.59,1.0,0.47,0.53,1.18,2.0,2.35,0.0,70.8,3.71,21.8,30.4,18.9,0.47,70.8,0.35,0.12,0.18,33.5,151.6,74.4,1.59,1.24,0.06,0.24,0.35,43.3,4.06,0.12,0.0,0.0,0.47,0.29,0.06,5.94,0.41,0.0,0.0,4.71,1.41,1.18,€450k,450000.0,17.033333333333335,0.0,79.49921752738653,93.77049180327869,80.18433179723502,50.05903187721369,37.234042553191486,34.285714285714285,51.42857142857144,54.440154440154444,13.017005083966255,0.0,0.0,0.18317025440313112,0.0,0.40743639921722113,1.9667318982387474,0.04814090019569471,0.06927592954990214,1.0,0.07737769080234834,0.07737769080234834,4
Aaron Hickey,SCO,DF,Brentford,Premier League,20,10,9,739,0,0.12,0.0,0.0,21.0,0.0,0.0,0.0,31.2,38.5,452.9,134.3,19.1,21.2,10.1,12.3,1.22,3.05,0.0,0.12,3.05,0.61,0.12,3.9,38.5,34.4,4.15,0.73,0.0,0.12,1.59,3.41,0.0,0.0,0.0,0.0,31.2,0.0,0.85,0.85,0.61,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,1.71,1.34,0.98,0.0,0.98,1.95,0.98,1.22,0.49,0.73,1.34,3.66,1.34,0.0,49.3,2.68,12.9,25.9,11.0,1.1,49.3,3.05,0.85,1.34,30.2,160.6,98.7,2.68,0.85,0.0,0.85,0.49,30.7,3.05,0.49,0.0,0.0,0.85,2.07,0.0,1.59,1.71,0.0,0.0,4.39,0.49,0.73,€16.00m,16000000.0,8.21111111111111,0.0,81.03896103896103,90.09433962264151,82.11382113821138,40.0,50.256410256410255,27.868852459016395,43.9344262295082,40.16393442622951,16.588099342704055,0.0,0.0,0.10351826792963464,0.0,0.47496617050067663,3.677943166441137,0.28254397834912043,0.16319350473612992,1.8,0.0682002706359946,0.12276048714479028,10
Aaron Ramsdale,ENG,GK,Arsenal,Premier League,24,21,21,1890,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,28.9,500.1,353.0,5.05,5.29,8.52,8.67,5.62,14.8,0.0,0.0,0.86,0.1,0.0,0.24,28.9,22.7,6.1,2.24,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,19.2,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.62,0.19,31.0,22.4,30.4,0.57,0.0,0.0,31.0,0.05,0.05,0.0,19.0,106.9,68.1,0.0,0.05,0.0,0.0,0.0,15.9,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.05,0.0,0.0,0.67,0.14,0.0,€12.00m,12000000.0,21.0,0.0,66.43598615916954,95.46313799621929,98.26989619377161,37.972972972972975,100.0,100.0,0.0,100.0,16.300417291085605,0.0,0.0,0.004761904761904762,0.0,0.011428571428571429,0.9047619047619048,0.002380952380952381,0.0,1.4,0.0020952380952380953,0.0029333333333333334,7
Aaron Wan-Bissaka,ENG,DF,Manchester Utd,Premier League,25,8,7,609,0,0.0,0.0,0.0,25.9,0.0,0.0,0.0,39.7,48.4,546.8,193.2,27.2,29.3,9.71,12.9,1.76,2.65,0.0,0.88,3.24,0.44,0.29,2.94,48.4,40.9,7.35,0.44,0.0,0.29,1.32,6.91,0.0,0.0,0.0,0.0,39.7,0.15,1.18,1.76,1.76,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,2.65,1.91,1.91,0.74,0.0,1.47,1.62,0.15,1.03,0.15,0.88,1.91,4.56,2.65,0.0,59.4,3.97,18.7,24.3,16.8,1.91,59.4,1.62,0.74,0.88,29.7,154.4,82.8,2.35,1.47,0.29,1.18,0.74,32.9,3.38,0.0,0.0,0.0,0.59,0.15,0.0,1.32,1.91,0.0,0.0,5.15,0.74,1.03,€22.00m,22000000.0,6.766666666666667,0.0,82.02479338842976,92.83276450511944,75.27131782945737,66.41509433962266,90.74074074074073,45.67901234567901,54.32098765432099,41.80790960451977,16.906553056777135,0.0,0.0,0.2600985221674877,0.022167487684729065,0.43448275862068964,4.389162561576355,0.39162561576354676,0.2822660098522167,1.4,0.09879310344827587,0.1383103448275862,4
Aaron Zehnter,GER,DF,Augsburg,Bundesliga,18,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,€6.00m,6000000.0,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.607270193858982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,1.8,0.0,0.0,10
Aarón Martín,ESP,DF,Mainz 05,Bundesliga,25,17,17,1421,3,0.25,12.0,12.0,25.6,0.38,0.0,0.06,38.7,51.0,633.2,252.3,20.0,21.7,14.1,17.8,3.48,8.42,0.13,1.33,3.8,1.46,0.89,4.43,51.0,35.8,15.0,2.03,0.0,0.19,7.34,10.1,2.91,2.15,0.7,0.0,38.7,0.19,1.27,2.91,1.96,0.82,0.06,0.06,0.0,0.0,0.19,0.13,0.06,0.0,0.0,0.0,0.0,2.03,1.39,1.2,0.57,0.25,1.01,1.33,0.32,0.89,0.06,0.82,0.76,2.78,1.33,0.0,58.5,2.09,13.6,26.4,19.2,0.7,58.4,1.01,0.57,0.38,28.5,141.9,62.3,1.33,0.95,0.06,0.51,0.76,30.8,3.29,0.06,0.0,0.0,1.08,0.51,0.13,7.34,1.39,0.0,0.0,4.43,0.06,0.44,€7.00m,7000000.0,15.78888888888889,8.333333333333332,75.88235294117648,92.16589861751152,79.2134831460674,41.33016627078385,75.93984962406014,56.43564356435643,37.62376237623762,12.0,15.76142084987672,0.19000703729767768,0.008233638282899367,0.18430682617874736,0.01203377902885292,0.2805770584095707,1.805066854327938,0.12857142857142856,0.04813511611541168,1.4,0.13487332864180154,0.18882266009852214,4
Abdallah Sima,SEN,FW,Angers,Ligue 1,21,18,10,931,2,0.49,4.081632653061225,4.081632653061225,11.4,0.0,0.0,0.0,12.7,17.7,158.5,37.1,6.5,8.45,3.2,4.95,0.58,0.97,0.0,0.97,0.87,0.29,0.1,1.17,17.7,15.3,2.23,0.0,0.1,0.1,0.87,0.1,0.0,0.0,0.0,0.0,12.7,0.1,0.78,2.04,1.36,0.0,0.0,0.29,0.39,0.0,0.29,0.1,0.0,0.0,0.0,0.19,0.0,1.07,0.49,0.1,0.78,0.19,0.1,0.58,0.49,0.39,0.0,0.39,0.19,1.26,0.97,0.0,29.0,1.17,2.23,14.0,13.5,4.56,29.0,1.65,0.49,0.97,18.3,124.7,40.2,1.75,1.26,0.87,3.69,1.26,20.0,7.38,0.0,0.0,0.0,1.84,0.87,0.58,0.87,0.49,0.0,0.1,2.52,2.82,2.82,€4.00m,4000000.0,10.344444444444445,24.5,71.75141242937852,76.92307692307693,64.64646464646465,59.79381443298969,17.24137931034483,29.6969696969697,58.78787878787879,50.0,15.201805169084134,0.19334049409237378,0.0,0.19720730397422126,0.028034371643394198,0.11310418904403866,1.7690655209452202,0.10343716433941998,0.01836734693877551,1.8,0.12262620837808808,0.22072717508055853,10
Abdelhamid Sabiri,MAR,MFFW,Sampdoria,Serie A,26,13,11,914,1,0.78,1.282051282051282,1.282051282051282,25.4,0.59,0.0,0.0,26.6,39.6,480.0,145.4,12.0,14.9,10.1,13.9,3.53,7.65,0.0,1.37,3.92,1.18,0.0,4.41,39.6,33.5,5.88,2.84,0.29,0.69,4.71,0.2,2.75,0.69,1.67,0.0,26.6,0.2,1.08,3.43,1.86,0.59,0.29,0.29,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.69,0.49,0.78,0.39,0.39,1.27,0.88,1.47,0.2,1.27,0.2,1.86,0.39,0.0,52.7,1.18,5.2,26.1,22.1,2.55,52.7,3.53,1.08,1.67,30.3,129.6,46.8,0.49,1.76,0.39,2.84,2.16,36.0,4.8,0.39,0.0,0.0,2.25,3.04,0.0,4.71,0.69,0.0,0.0,4.22,2.55,1.76,€1.00m,1000000.0,10.155555555555555,78.0,67.17171717171718,80.53691275167785,72.66187050359711,46.1437908496732,30.708661417322837,30.59490084985836,47.30878186968839,59.164733178654295,13.815511557963774,0.09846827133479213,0.0,0.337746170678337,0.0,0.4342450765864333,2.9835886214442016,0.16444201312910284,0.019693654266958426,1.0,0.145437636761488,0.145437636761488,4
Abdessamad Ezzalzouli,MAR,FWMF,Osasuna,La Liga,21,14,8,588,0,0.62,0.0,0.0,17.9,0.15,0.0,0.0,22.9,33.7,317.4,80.6,14.5,18.3,6.31,9.23,1.38,2.31,0.31,0.77,0.62,2.0,0.62,2.62,33.7,32.0,1.54,0.46,0.31,0.15,3.23,0.77,0.31,0.0,0.15,0.0,22.9,0.15,2.62,3.08,1.85,0.31,0.31,0.46,0.15,0.0,0.46,0.46,0.0,0.0,0.0,0.0,0.0,2.31,1.54,1.08,0.92,0.31,0.92,1.38,0.46,1.85,0.0,1.85,0.31,2.62,0.46,0.0,51.4,0.46,5.23,17.5,30.2,3.54,51.4,5.69,2.15,1.85,32.2,259.1,142.5,5.69,3.23,2.62,3.69,3.85,36.3,9.08,0.46,0.15,0.15,2.15,2.46,0.0,3.23,1.54,0.0,0.0,3.85,0.15,0.31,€30.00m,30000000.0,6.533333333333333,0.0,67.95252225519287,79.23497267759562,68.36403033586132,59.74025974025974,66.66666666666667,37.78558875219683,32.51318101933216,32.608695652173914,17.216707972959764,0.0,0.047448979591836735,0.4714285714285715,0.07040816326530612,0.40102040816326534,4.928571428571429,0.3535714285714286,0.047448979591836735,1.8,0.15443877551020413,0.2779897959183674,10
Abdou Diallo,SEN,DFMF,RB Leipzig,Bundesliga,26,5,5,436,1,0.21,4.761904761904762,4.761904761904762,8.0,0.0,0.0,0.0,61.7,71.9,1157.5,493.1,24.4,26.3,30.4,33.5,6.46,10.8,0.0,0.21,4.58,0.83,0.0,4.58,71.9,69.8,1.88,1.46,0.21,0.63,0.21,0.42,0.0,0.0,0.0,0.0,61.7,0.21,0.21,1.04,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.04,1.04,0.21,0.0,0.21,0.63,0.42,0.83,0.63,0.21,1.46,2.71,3.75,0.0,82.1,9.17,35.8,41.9,4.79,1.67,82.1,0.63,0.63,0.0,54.2,304.6,189.4,2.29,0.63,0.21,0.42,0.83,58.8,0.42,0.42,0.0,0.0,0.63,0.21,0.21,0.21,1.04,0.0,0.0,7.08,2.5,1.88,€4.50m,4500000.0,4.844444444444444,21.0,85.81363004172462,92.77566539923954,90.74626865671641,59.81481481481481,33.33333333333333,100.0,0.0,57.077625570776256,15.319588176962746,0.20642201834862386,0.0,0.21467889908256882,0.0,0.9454128440366973,11.188073394495413,0.25802752293577985,0.30137614678899083,1.0,0.20972477064220185,0.20972477064220185,4
Abdou Harroui,NED,MF,Sassuolo,Serie A,25,13,2,295,1,0.91,1.0989010989010988,1.0989010989010988,25.3,0.0,0.0,0.0,32.1,40.9,513.0,124.2,14.8,16.4,14.8,17.0,1.82,3.33,0.0,0.3,4.85,0.91,0.3,3.33,40.9,40.0,0.91,0.0,0.3,0.3,2.42,0.3,0.0,0.0,0.0,0.0,32.1,0.0,1.82,1.21,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.0,0.91,0.61,0.61,0.3,1.82,1.52,0.91,0.3,0.61,0.0,2.12,0.61,0.0,51.8,2.12,6.06,28.2,18.8,1.21,51.8,0.91,0.61,0.3,29.1,169.4,64.8,2.12,2.12,0.3,1.21,2.12,37.0,4.24,0.3,0.0,0.0,1.82,0.0,0.0,2.42,0.0,0.0,0.0,5.76,1.21,0.91,€1.80m,1800000.0,3.2777777777777777,91.0,78.4841075794621,90.24390243902441,87.05882352941177,54.65465465465466,16.483516483516482,67.03296703296702,32.967032967032964,57.0754716981132,14.403297778421795,0.3050847457627119,0.0,0.36915254237288136,0.0,1.0159322033898306,8.877966101694916,0.6467796610169492,0.0,1.4,0.28220338983050847,0.39508474576271185,4
Abdoul Kader Bamba,FRA,FWMF,Nantes,Ligue 1,28,4,1,78,0,1.11,0.0,0.0,19.3,0.0,0.0,0.0,40.0,48.9,538.9,164.4,17.8,22.2,16.7,18.9,0.0,1.11,0.0,1.11,2.22,0.0,0.0,3.33,48.9,43.3,5.56,2.22,0.0,1.11,3.33,2.22,1.11,1.11,0.0,0.0,40.0,0.0,1.11,3.33,2.22,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,2.22,3.33,1.11,2.22,0.0,0.0,1.11,0.0,60.0,0.0,8.89,25.6,25.6,2.22,60.0,1.11,0.0,0.0,46.7,262.2,87.8,1.11,1.11,1.11,1.11,4.44,44.4,13.3,0.0,1.11,0.0,3.33,2.22,1.11,3.33,0.0,0.0,0.0,5.56,2.22,0.0,€1.00m,1000000.0,0.8666666666666667,0.0,81.79959100204499,80.18018018018019,88.35978835978835,0.0,0.0,0.0,0.0,100.0,13.815511557963774,0.0,0.0,3.8423076923076924,0.0,3.8423076923076924,53.88461538461539,0.0,0.0,1.0,1.1526923076923077,1.1526923076923077,4
Abdoulaye Bamba,CIV,DF,Angers,Ligue 1,32,9,4,555,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.2,43.5,591.8,231.5,15.2,16.6,16.5,19.7,2.42,4.68,0.0,0.48,4.35,0.65,0.32,3.23,43.5,38.2,5.32,1.45,0.16,0.0,2.1,3.87,0.0,0.0,0.0,0.0,35.2,0.0,0.97,0.81,0.65,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,1.13,1.45,0.81,0.16,1.61,1.61,0.0,0.65,0.16,0.48,1.29,3.71,1.77,0.0,52.3,2.9,16.1,29.4,7.42,0.16,52.3,0.81,0.32,0.32,36.0,179.4,82.1,0.97,0.32,0.0,0.65,0.48,31.6,1.77,0.32,0.0,0.0,0.81,1.29,0.32,2.1,1.13,0.0,0.0,4.84,0.97,0.81,€250k,250000.0,6.166666666666667,0.0,80.91954022988507,91.56626506024095,83.75634517766498,51.70940170940172,100.0,39.50617283950617,39.50617283950617,54.49438202247191,12.429220196836383,0.0,0.0,0.13135135135135134,0.0,0.5237837837837838,5.837837837837838,0.3924324324324324,0.2091891891891892,1.0,0.07864864864864865,0.07864864864864865,4
Abdoulaye Doucouré,MLI,MF,Everton,Premier League,30,11,3,318,0,0.29,0.0,0.0,12.5,0.0,0.0,0.0,33.4,42.6,461.7,104.0,18.6,23.7,12.6,15.1,0.57,0.86,0.0,0.29,2.57,0.0,0.0,2.29,42.6,42.3,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,33.4,0.29,0.29,1.43,1.14,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.43,0.57,1.43,0.0,0.29,1.14,0.86,1.14,0.29,0.86,0.57,2.57,0.86,0.0,49.7,1.71,12.0,23.4,14.9,3.14,49.7,0.86,0.57,0.29,27.7,118.9,62.6,0.57,0.57,0.0,0.86,0.57,32.3,1.71,0.29,0.0,0.0,0.86,0.29,0.29,0.29,1.43,0.0,0.0,7.14,1.14,1.71,€6.00m,6000000.0,3.533333333333333,0.0,78.40375586854461,78.48101265822785,83.44370860927152,66.27906976744185,25.438596491228072,66.27906976744185,33.72093023255814,40.0,15.607270193858982,0.0,0.0,0.4047169811320755,0.0,0.6481132075471698,7.839622641509434,0.5660377358490566,0.16132075471698112,1.0,0.1457547169811321,0.1457547169811321,4
Abdu Conté,POR,DF,Troyes,Ligue 1,24,12,9,826,1,0.11,9.090909090909092,9.090909090909092,16.3,0.0,0.0,0.0,44.7,54.6,799.1,280.8,18.7,21.5,21.7,24.8,3.59,5.87,0.11,0.98,3.26,0.98,0.43,4.46,54.6,45.9,8.48,0.87,0.22,0.54,2.39,7.61,0.0,0.0,0.0,0.0,44.7,0.22,1.85,1.63,1.52,0.11,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,2.07,1.52,1.2,0.54,0.33,1.09,1.85,0.76,1.09,0.54,0.54,0.22,2.28,1.63,0.0,62.4,3.7,22.1,27.9,12.9,0.65,62.4,1.2,0.11,1.09,44.3,248.5,122.2,2.17,1.74,0.11,0.54,0.43,40.9,5.54,0.0,0.0,0.0,0.98,0.54,0.11,2.39,1.52,0.0,0.0,4.67,1.09,0.43,€700k,700000.0,9.177777777777777,11.0,81.86813186813187,86.9767441860465,87.5,61.15843270868824,58.91891891891892,9.166666666666668,90.83333333333334,71.71052631578948,13.45883704259595,0.10895883777239711,0.011985472154963681,0.17760290556900726,0.011985472154963681,0.48595641646489107,4.826876513317191,0.22554479418886197,0.023970944309927363,1.4,0.12644673123486683,0.17702542372881355,7
Abdul Mumin,GHA,DF,Rayo Vallecano,La Liga,24,4,2,193,0,0.48,0.0,0.0,17.2,0.0,0.0,0.0,42.9,52.9,881.9,214.3,11.9,14.3,25.7,27.6,5.24,11.0,0.0,0.48,2.38,0.0,0.0,1.9,52.9,51.4,1.43,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9,0.0,0.0,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.95,0.0,0.48,0.48,1.9,0.0,60.0,4.76,26.2,33.3,0.95,0.48,60.0,0.48,0.0,0.48,47.6,185.7,64.3,0.48,0.0,0.0,0.0,0.48,43.8,0.48,0.0,0.0,0.0,0.48,1.43,0.0,0.0,0.0,0.0,0.0,5.24,0.48,1.43,€4.00m,4000000.0,2.1444444444444444,0.0,81.09640831758034,83.21678321678321,93.1159420289855,47.63636363636364,0.0,0.0,100.0,25.13089005235602,15.201805169084134,0.0,0.0,0.4430051813471503,0.0,0.8860103626943006,22.196891191709845,0.0,0.22383419689119172,1.4,0.1772020725388601,0.24808290155440413,7
Abdón Prats,ESP,FWMF,Mallorca,La Liga,30,14,1,176,1,2.0,0.5,0.5,13.9,0.0,0.0,0.0,16.0,21.5,237.0,38.5,7.5,10.5,5.0,6.5,1.5,2.0,0.0,1.0,0.0,0.0,0.0,1.0,21.5,19.5,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,1.0,0.0,34.0,1.0,2.0,19.0,13.0,4.5,34.0,2.0,0.5,1.0,19.5,71.5,14.5,0.5,0.5,1.5,2.5,4.0,25.0,2.5,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,3.0,0.5,6.5,€900k,900000.0,1.9555555555555555,200.0,74.4186046511628,71.42857142857143,76.92307692307693,75.0,0.0,25.0,50.0,7.142857142857142,13.710151153416941,0.5113636363636364,0.0,0.2556818181818182,0.0,0.5113636363636364,9.97159090909091,0.2556818181818182,0.0,1.0,0.28125,0.28125,4
